derived_ambassador_id,ambassador_id,dob,mean_age_at_join,total_number_of_campaigns,total_quantity_of_items,number_of_orders,successful_number_of_campaigns,success_rate,items_per_order
ambassador_79,4e4d4f70-943b-4f00-a393-3fccbf15fafd,1999-11-11,18.0,2.0,10.0,3.0,1.0,0.5,3.3333333333333335
ambassador_80,0a0f9285-a4a6-499f-855e-e4ef17dc831d,1998-01-29,20.0,3.0,9.0,2.0,2.0,0.6666666666666666,4.5
ambassador_81,5a2a84b4-5896-4bd3-bd01-0c0360db3b2e,1995-04-25,22.0,1.0,9.0,2.0,1.0,1.0,4.5
ambassador_82,11f3aede-be9d-46c0-a00a-f8605e1b1556,1998-11-28,19.0,2.0,9.0,3.0,2.0,1.0,3.0
ambassador_83,7c8dae86-190e-4df6-a0de-e3b7a027b820,1996-05-02,21.333333333333332,3.0,9.0,2.0,1.0,0.3333333333333333,4.5
ambassador_84,61b62a65-51e4-4c8a-9ab8-cb94332d86a0,1985-05-12,32.0,2.0,9.0,3.0,2.0,1.0,3.0
ambassador_85,f6438777-e132-453e-b85a-f0542df75b91,1992-08-28,25.333333333333332,3.0,7.0,2.0,2.0,0.6666666666666666,3.5
ambassador_86,3748984b-df8e-4a83-91c8-6185a885553d,1997-08-16,20.0,2.0,7.0,2.0,1.0,0.5,3.5
ambassador_87,504576f4-95ce-49a2-90cf-e0f15b061793,1989-04-15,28.5,2.0,7.0,2.0,1.0,0.5,3.5
ambassador_88,c1397f5c-41d7-4b67-9551-1647f1a78cea,1988-11-17,29.0,3.0,6.0,2.0,2.0,0.6666666666666666,3.0
ambassador_89,6139c471-7f3d-41b3-adff-934a796c638b,1995-05-11,22.75,4.0,6.0,2.0,2.0,0.5,3.0
ambassador_90,47682ba5-04a4-49cf-b1de-fc4f315366dd,1998-03-14,20.0,3.0,6.0,1.0,1.0,0.3333333333333333,6.0
ambassador_91,dee1a254-fa47-4257-9c4b-0fd60449eac6,1988-11-02,29.0,1.0,6.0,1.0,1.0,1.0,6.0
ambassador_92,0f4c9d85-8d84-4b10-8d23-0ffa9b48563a,1985-03-07,33.0,1.0,5.0,2.0,1.0,1.0,2.5
ambassador_93,8481d8f5-670f-4be7-8802-120abc5e73f9,1999-12-26,18.0,2.0,5.0,2.0,1.0,0.5,2.5
ambassador_94,15668feb-9483-4385-8be3-5fd552a1e8a6,1997-02-21,20.5,2.0,4.0,1.0,1.0,0.5,4.0
ambassador_95,5d405b39-68aa-4794-9a06-e4c03ffbce1a,1996-12-09,21.0,2.0,4.0,1.0,1.0,0.5,4.0
ambassador_96,40fef2df-9d52-4945-a395-469e177c1de5,1993-01-03,25.0,3.0,4.0,1.0,1.0,0.3333333333333333,4.0
ambassador_97,d72d674c-4617-4fdf-9186-879cc10bf9ab,1993-01-08,25.0,2.0,4.0,1.0,1.0,0.5,4.0
ambassador_98,4daefc29-1a4d-4da6-afe2-4a4b3d376e4a,1987-06-23,30.5,2.0,4.0,1.0,1.0,0.5,4.0
ambassador_99,e6956c53-abd9-4c2e-8a8d-6ec0c13bd7cf,1997-01-19,21.0,1.0,3.0,1.0,1.0,1.0,3.0
ambassador_100,319e97d9-dc88-4aad-a0c7-f890bfd59bf0,1994-09-23,23.0,2.0,3.0,1.0,1.0,0.5,3.0
ambassador_101,0069a733-e50a-4895-9d8c-bc268a1981c5,1995-04-20,22.333333333333332,3.0,3.0,2.0,2.0,0.6666666666666666,1.5
ambassador_102,ebd5bb3d-34fe-4cce-a7d2-8df48d9c9c4d,1995-11-03,22.0,1.0,3.0,2.0,1.0,1.0,1.5
ambassador_103,dece3567-68f3-423d-9c97-f7f81deba8d7,1987-04-17,30.5,2.0,3.0,2.0,1.0,0.5,1.5
ambassador_104,ae47eaeb-c7a5-48b5-9ee7-841a22cd1f2b,1993-05-15,24.0,1.0,2.0,1.0,1.0,1.0,2.0
ambassador_105,ed345996-94ca-478e-90e9-35965f4108f7,1996-06-26,21.5,2.0,2.0,1.0,1.0,0.5,2.0
ambassador_106,41cb4e83-0ded-40ba-93e0-15835e4b9b05,1991-04-04,27.0,3.0,1.0,1.0,1.0,0.3333333333333333,1.0
